20161028:200000	0.9874	0.9875	0.9873	0.9875	4	0.9875
20161027:200000	0.9936	0.9936	0.9935	0.9935	4	0.9935
20161026:200000	0.9937	0.9937	0.9937	0.9937	4	0.9937
20161025:200000	0.9942	0.9942	0.9942	0.9942	4	0.9942
20161024:200000	0.9938	0.9939	0.9938	0.9938	4	0.9938
20161021:180100	0.9949	0.9951	0.9949	0.9951	4	0.9951
20161020:180100	0.9925	0.9926	0.9925	0.9925	4	0.9925
20161019:180100	0.9897	0.9897	0.9896	0.9897	4	0.9897
20161018:180100	0.9898	0.9900	0.9898	0.9900	4	0.9900
20161017:180100	0.9881	0.9881	0.9881	0.9881	4	0.9881
20161014:160200	0.9899	0.9899	0.9897	0.9897	4	0.9897
20161013:154900	0.9865	0.9866	0.9865	0.9866	4	0.9866
20161012:154900	0.9900	0.9900	0.9899	0.9899	4	0.9899
20161011:154900	0.9877	0.9877	0.9876	0.9876	4	0.9876
20161010:154800	0.9819	0.9819	0.9818	0.9818	4	0.9818
20161007:134900	0.9784	0.9787	0.9784	0.9787	4	0.9787
20161006:134900	0.9782	0.9782	0.9781	0.9781	4	0.9781
20161005:134900	0.9768	0.9768	0.9768	0.9768	4	0.9768
20161004:134900	0.9808	0.9808	0.9806	0.9807	4	0.9807
20161003:134800	0.9728	0.9729	0.9728	0.9729	4	0.9729
20160930:114900	0.9734	0.9734	0.9733	0.9733	4	0.9733
20160929:114900	0.9697	0.9698	0.9697	0.9697	4	0.9697
20160928:114900	0.9717	0.9717	0.9716	0.9716	4	0.9716
20160927:114900	0.9690	0.9690	0.9687	0.9687	4	0.9687
20160926:114900	0.9684	0.9684	0.9684	0.9684	4	0.9684
20160923:095000	0.9699	0.9699	0.9698	0.9698	4	0.9698
20160922:095000	0.9697	0.9697	0.9694	0.9694	4	0.9694
20160921:095000	0.9770	0.9770	0.9769	0.9769	4	0.9769
20160920:095000	0.9772	0.9772	0.9771	0.9772	4	0.9772
20160919:095000	0.9805	0.9806	0.9805	0.9806	4	0.9806
20160916:075100	0.9729	0.9729	0.9728	0.9729	4	0.9729
20160915:075100	0.9763	0.9763	0.9763	0.9763	4	0.9763
20160914:075100	0.9767	0.9769	0.9767	0.9768	4	0.9768
20160913:075100	0.9729	0.9730	0.9729	0.9729	4	0.9729
20160912:075100	0.9740	0.9741	0.9739	0.9739	4	0.9739
20160909:055200	0.9715	0.9715	0.9715	0.9715	4	0.9715
20160908:055200	0.9690	0.9690	0.9690	0.9690	4	0.9690
20160907:055200	0.9687	0.9687	0.9687	0.9687	4	0.9687
